,Time,Time_Elapsed,Disk_Precentage
0,21:57:56,8.344650268554688e-05,70.3
1,21:57:56,0.10031867027282715,70.3
2,21:57:56,0.20067739486694336,70.3
3,21:57:56,0.30117368698120117,70.3
4,21:57:56,0.40140199661254883,70.3
5,21:57:57,0.5016205310821533,70.3
6,21:57:57,0.6018047332763672,70.3
7,21:57:57,0.7020583152770996,70.3
8,21:57:57,0.8022685050964355,70.3
9,21:57:57,0.9025154113769531,70.3
10,21:57:57,1.0027213096618652,70.3
11,21:57:57,1.1031410694122314,70.3
12,21:57:57,1.203359603881836,70.3
13,21:57:57,1.3035950660705566,70.3
14,21:57:57,1.403822422027588,70.3
15,21:57:58,1.5040807723999023,70.3
16,21:57:58,1.6042795181274414,70.3
17,21:57:58,1.704545497894287,70.3
18,21:57:58,1.8048121929168701,70.3
19,21:57:58,1.9050326347351074,70.3
20,21:57:58,2.0052449703216553,70.3
21,21:57:58,2.105445384979248,70.3
22,21:57:58,2.205798387527466,70.3
23,21:57:58,2.306023597717285,70.3
24,21:57:58,2.406242609024048,70.3
25,21:57:59,2.5064549446105957,70.3
26,21:57:59,2.606660842895508,70.3
27,21:57:59,2.7068891525268555,70.3
28,21:57:59,2.807105541229248,70.3
29,21:57:59,2.9073450565338135,70.3
30,21:57:59,3.0075523853302,70.3
31,21:57:59,3.1077611446380615,70.3
32,21:57:59,3.20797061920166,70.3
33,21:57:59,3.308199644088745,70.3
34,21:57:59,3.408430814743042,70.3
35,21:58:00,3.508831739425659,70.3
36,21:58:00,3.6090309619903564,70.3
37,21:58:00,3.7092247009277344,70.3
38,21:58:00,3.809429407119751,70.3
39,21:58:00,3.909627914428711,70.3
40,21:58:00,4.0098419189453125,70.3
41,21:58:00,4.110033750534058,70.3
42,21:58:00,4.210227012634277,70.3
43,21:58:00,4.310424566268921,70.3
44,21:58:00,4.410686016082764,70.3
45,21:58:01,4.510879755020142,70.3
46,21:58:01,4.611080169677734,70.3
47,21:58:01,4.711315393447876,70.3
48,21:58:01,4.811527490615845,70.3
49,21:58:01,4.911770582199097,70.3
50,21:58:01,5.011979818344116,70.3
51,21:58:01,5.112182140350342,70.3
52,21:58:01,5.2127604484558105,70.3
53,21:58:01,5.31303596496582,70.3
54,21:58:01,5.413245916366577,70.3
55,21:58:02,5.513444423675537,70.3
56,21:58:02,5.613655090332031,70.3
57,21:58:02,5.713848829269409,70.3
58,21:58:02,5.81406569480896,70.3
59,21:58:02,5.914281368255615,70.3
60,21:58:02,6.014650344848633,70.3
61,21:58:02,6.114851236343384,70.3
62,21:58:02,6.215650320053101,70.3
63,21:58:02,6.316837549209595,70.3
64,21:58:02,6.417130708694458,70.3
65,21:58:03,6.5174689292907715,70.3
66,21:58:03,6.617707967758179,70.3
67,21:58:03,6.717927694320679,70.3
68,21:58:03,6.8181517124176025,70.3
69,21:58:03,6.918360233306885,70.3
70,21:58:03,7.01865291595459,70.3
71,21:58:03,7.1188414096832275,70.3
72,21:58:03,7.219067096710205,70.3
73,21:58:03,7.319283723831177,70.3
74,21:58:03,7.41951584815979,70.3
75,21:58:04,7.5198585987091064,70.3
76,21:58:04,7.620093107223511,70.3
77,21:58:04,7.720318555831909,70.3
78,21:58:04,7.820815801620483,70.3
79,21:58:04,7.921111345291138,70.3
80,21:58:04,8.021325826644897,70.3
81,21:58:04,8.121555805206299,70.3
82,21:58:04,8.221800327301025,70.3
83,21:58:04,8.322004795074463,70.3
84,21:58:04,8.422227144241333,70.3
85,21:58:05,8.522443532943726,70.3
86,21:58:05,8.622661113739014,70.3
87,21:58:05,8.722875356674194,70.3
88,21:58:05,8.823085069656372,70.3
89,21:58:05,8.923404455184937,70.3
90,21:58:05,9.02363395690918,70.3
91,21:58:05,9.123881816864014,70.3
92,21:58:05,9.224136352539062,70.3
93,21:58:05,9.32465147972107,70.3
94,21:58:05,9.424967765808105,70.3
95,21:58:06,9.525202512741089,70.3
96,21:58:06,9.625431060791016,70.3
97,21:58:06,9.725667715072632,70.3
98,21:58:06,9.825929403305054,70.3
99,21:58:06,9.926149129867554,70.3
100,21:58:06,10.026355981826782,70.3
101,21:58:06,10.126577377319336,70.3
102,21:58:06,10.226790428161621,70.3
103,21:58:06,10.327070474624634,70.3
104,21:58:06,10.427561521530151,70.3
105,21:58:07,10.52780795097351,70.3
106,21:58:07,10.628279447555542,70.3
107,21:58:07,10.728525876998901,70.3
108,21:58:07,10.828755378723145,70.3
109,21:58:07,10.928978681564331,70.3
110,21:58:07,11.029215574264526,70.3
111,21:58:07,11.129442691802979,70.3
112,21:58:07,11.229669094085693,70.3
113,21:58:07,11.329990863800049,70.3
114,21:58:07,11.430223941802979,70.3
115,21:58:08,11.530442714691162,70.3
116,21:58:08,11.630675315856934,70.3
117,21:58:08,11.730891942977905,70.3
118,21:58:08,11.83111023902893,70.3
119,21:58:08,11.9313805103302,70.3
120,21:58:08,12.031609535217285,70.3
121,21:58:08,12.131839990615845,70.3
122,21:58:08,12.232061624526978,70.3
123,21:58:08,12.332274913787842,70.3
124,21:58:08,12.432494163513184,70.3
125,21:58:09,12.532715320587158,70.3
126,21:58:09,12.632939577102661,70.3
127,21:58:09,12.73315715789795,70.3
128,21:58:09,12.833373785018921,70.3
129,21:58:09,12.933597326278687,70.3
130,21:58:09,13.034095525741577,70.3
131,21:58:09,13.134307146072388,70.3
132,21:58:09,13.23450517654419,70.3
133,21:58:09,13.334728240966797,70.3
134,21:58:09,13.434985637664795,70.3
135,21:58:10,13.535259485244751,70.3
136,21:58:10,13.635476112365723,70.3
