,Time,Time_Elapsed,CPU_Precentage
0,21:57:56,0.1008448600769043,46.2
1,21:57:56,0.3021550178527832,42.9
2,21:57:57,0.5028550624847412,43.6
3,21:57:57,0.7036848068237305,43.5
4,21:57:57,0.9044036865234375,44.4
5,21:57:57,1.1050269603729248,49.7
6,21:57:57,1.3056282997131348,42.1
7,21:57:58,1.5062487125396729,49.7
8,21:57:58,1.706894874572754,43.3
9,21:57:58,1.9075171947479248,47.5
10,21:57:58,2.1081480979919434,47.6
11,21:57:58,2.3090314865112305,60.3
12,21:57:59,2.509859561920166,60.7
13,21:57:59,2.7104897499084473,45.1
14,21:57:59,2.911079168319702,48.8
15,21:57:59,3.1116979122161865,44.9
16,21:57:59,3.3123631477355957,54.5
17,21:58:00,3.5130667686462402,50.0
18,21:58:00,3.713822603225708,45.7
19,21:58:00,3.914431095123291,42.9
20,21:58:00,4.114959955215454,49.7
21,21:58:00,4.317151784896851,47.8
22,21:58:01,4.5177905559539795,49.7
23,21:58:01,4.719062805175781,44.2
24,21:58:01,4.919830799102783,48.7
25,21:58:01,5.120483636856079,46.5
26,21:58:01,5.321143627166748,47.8
27,21:58:02,5.521775007247925,46.2
28,21:58:02,5.722530364990234,50.9
29,21:58:02,5.923210859298706,47.9
30,21:58:02,6.123862028121948,45.2
31,21:58:02,6.325792074203491,63.6
32,21:58:03,6.526448726654053,47.9
33,21:58:03,6.7270591259002686,45.3
34,21:58:03,6.927667140960693,43.4
35,21:58:03,7.128237247467041,46.0
36,21:58:03,7.329078912734985,43.2
37,21:58:04,7.530005693435669,56.8
38,21:58:04,7.7306227684021,46.7
39,21:58:04,7.931246757507324,45.5
40,21:58:04,8.131949186325073,43.3
41,21:58:04,8.332682609558105,73.3
42,21:58:05,8.534015417098999,50.0
43,21:58:05,8.734746217727661,47.8
44,21:58:05,8.935521125793457,46.2
45,21:58:05,9.136284589767456,45.0
46,21:58:05,9.337092161178589,75.5
47,21:58:06,9.53769040107727,48.2
48,21:58:06,9.738569259643555,49.7
49,21:58:06,9.9392249584198,43.3
50,21:58:06,10.140229940414429,42.1
51,21:58:06,10.341312885284424,48.1
52,21:58:07,10.54206109046936,45.1
53,21:58:07,10.74268388748169,44.4
54,21:58:07,10.943371772766113,48.8
55,21:58:07,11.144093036651611,48.1
56,21:58:07,11.345003604888916,74.8
57,21:58:08,11.545899868011475,46.5
58,21:58:08,11.74672245979309,49.1
59,21:58:08,11.947416305541992,58.1
60,21:58:08,12.148205518722534,53.4
61,21:58:08,12.349067211151123,43.0
62,21:58:09,12.549824953079224,52.5
63,21:58:09,12.750621795654297,41.7
64,21:58:09,12.951277494430542,46.2
65,21:58:09,13.152096033096313,41.7
66,21:58:09,13.352875709533691,50.9
67,21:58:10,13.553813695907593,41.0
68,21:58:10,13.754505395889282,48.5
69,21:58:10,13.955272197723389,43.3
70,21:58:10,14.156030654907227,46.9
71,21:58:10,14.356720209121704,47.5
72,21:58:11,14.557663917541504,45.5
73,21:58:11,14.7586088180542,50.3
74,21:58:11,14.959264278411865,47.9
75,21:58:11,15.159947156906128,43.9
76,21:58:11,15.360941171646118,44.9
77,21:58:12,15.561630249023438,51.0
78,21:58:12,15.762449502944946,45.9
79,21:58:12,15.963236093521118,47.9
80,21:58:12,16.16404891014099,46.1
81,21:58:12,16.364733457565308,52.1
82,21:58:13,16.565629959106445,52.1
83,21:58:13,16.766611576080322,43.2
84,21:58:13,16.96756649017334,50.6
85,21:58:13,17.168418169021606,44.3
86,21:58:13,17.3691143989563,46.8
87,21:58:14,17.569788694381714,47.5
88,21:58:14,17.770466327667236,48.2
89,21:58:14,17.971187353134155,45.9
90,21:58:14,18.171971321105957,46.9
91,21:58:14,18.373286962509155,41.9
92,21:58:15,18.574159145355225,47.2
93,21:58:15,18.77495837211609,44.1
94,21:58:15,18.97569441795349,41.6
95,21:58:15,19.17635202407837,47.5
96,21:58:15,19.37710738182068,49.1
97,21:58:16,19.577850341796875,45.5
98,21:58:16,19.778613328933716,49.4
99,21:58:16,19.979700803756714,47.8
100,21:58:16,20.180394172668457,46.5
101,21:58:16,20.381277561187744,48.1
102,21:58:17,20.581964015960693,48.5
103,21:58:17,20.782997608184814,53.3
104,21:58:17,20.983798265457153,47.8
105,21:58:17,21.184513330459595,45.9
106,21:58:17,21.385289192199707,45.6
107,21:58:18,21.58605980873108,47.0
108,21:58:18,21.78677988052368,46.2
109,21:58:18,21.987508535385132,49.7
110,21:58:18,22.188151836395264,43.6
111,21:58:18,22.388911962509155,61.8
112,21:58:19,22.589925527572632,79.5
113,21:58:19,22.790608167648315,50.9
114,21:58:19,22.991331815719604,46.0
115,21:58:19,23.192075490951538,42.7
116,21:58:19,23.392839431762695,43.9
117,21:58:20,23.59392476081848,49.7
118,21:58:20,23.79478120803833,43.8
119,21:58:20,23.995644330978394,49.1
120,21:58:20,24.196436166763306,42.9
121,21:58:20,24.397475957870483,47.2
122,21:58:21,24.59817147254944,42.5
123,21:58:21,24.79889416694641,47.0
124,21:58:21,24.999735832214355,47.2
125,21:58:21,25.20046591758728,45.3
126,21:58:21,25.401298999786377,59.7
127,21:58:22,25.60251021385193,81.4
128,21:58:22,25.80329918861389,49.1
129,21:58:22,26.004185438156128,50.0
130,21:58:22,26.20521330833435,50.3
131,21:58:22,26.405898571014404,44.6
132,21:58:23,26.606903076171875,46.0
133,21:58:23,26.80765151977539,47.5
134,21:58:23,27.00858736038208,49.4
135,21:58:23,27.20949125289917,49.4
136,21:58:23,27.410306215286255,55.2
137,21:58:24,27.61113214492798,50.7
